2026/02/08 18:14:45 http: TLS handshake error from [::1]:57401: client sent an HTTP request to an HTTPS server
2026/02/09 10:23:36 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.3375ms
2026/02/09 10:23:36 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 579.7µs
2026/02/09 10:23:36 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.4302ms
2026/02/09 10:23:36 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 546.9µs
2026/02/09 10:23:36 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.8868ms
2026/02/09 10:23:49 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 551.8µs
2026/02/09 10:23:50 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 568.7µs
2026/02/09 10:23:50 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.1676ms
2026/02/09 10:23:50 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.9286ms
2026/02/09 10:23:50 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 595.9µs
2026/02/09 10:23:50 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 515.3µs
2026/02/09 10:23:51 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8083 | Status: 200 | Duration: 567.4µs
2026/02/09 10:23:56 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: N/A | Status: 200 | Duration: 0s
2026/02/09 10:23:58 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: N/A | Status: 200 | Duration: 0s
2026/02/09 10:23:58 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: N/A | Status: 200 | Duration: 0s
2026/02/09 10:23:59 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: N/A | Status: 200 | Duration: 0s
2026/02/09 10:23:59 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: N/A | Status: 200 | Duration: 0s
2026/02/09 10:24:22 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8084 | Status: 200 | Duration: 10.00686s
2026/02/09 10:25:17 GET /about -> RemoteAddr: 127.0.0.1:64242 | Backend: http://localhost:8082 | Status: 200 | Duration: 10.5792ms
2026/02/09 10:25:18 GET /about -> RemoteAddr: 127.0.0.1:64242 | Backend: http://localhost:8083 | Status: 200 | Duration: 11.1151ms
2026/02/09 10:25:20 GET /about -> RemoteAddr: 127.0.0.1:64242 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0030684s
2026/02/09 10:25:20 GET /about -> RemoteAddr: 127.0.0.1:64242 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.5251ms
2026/02/09 10:25:20 GET /about -> RemoteAddr: 127.0.0.1:64242 | Backend: http://localhost:8083 | Status: 200 | Duration: 595.4µs
2026/02/09 10:25:22 GET /about -> RemoteAddr: 127.0.0.1:64242 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0161982s
2026/02/09 10:25:41 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 10.1096ms
2026/02/09 10:25:42 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 7.2623ms
2026/02/09 10:25:43 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 8.7929ms
2026/02/09 10:25:44 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 546.6µs
2026/02/09 10:25:44 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 7.1041ms
2026/02/09 10:25:44 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 542.8µs
2026/02/09 10:25:44 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 558µs
2026/02/09 10:25:45 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 511.9µs
2026/02/09 10:25:45 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 8.6941ms
2026/02/09 10:25:45 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.0774ms
2026/02/09 10:25:45 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 559.2µs
2026/02/09 10:25:45 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 3.1158ms
2026/02/09 10:25:45 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.5407ms
2026/02/09 10:25:46 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 3.8762ms
2026/02/09 10:25:46 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 598.4µs
2026/02/09 10:25:46 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 3.806ms
2026/02/09 10:25:46 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 550.2µs
2026/02/09 10:25:46 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.2231ms
